17.8,female,neutral,1512047536,6001,1,1
10.9,female,neutral,1512047546,917,2,1
27.3,female,happiness,1512047798,10,1,1
31.4,male,neutral,1512047885,3626,1,1
59.2,female,happiness,1512048132,1985,1,1
23.4,male,neutral,1512048163,7404,1,1
38.2,female,neutral,1512048191,14851,1,1
28.2,male,neutral,1512048499,6739,1,1
47.6,male,neutral,1512048896,9,1,1
42.4,male,neutral,1512048906,11432,1,1
38.7,male,happiness,1512048952,9121,2,1
31.9,male,happiness,1512049121,6,2,1
44.0,male,neutral,1512049305,11587,1,1
21.9,female,neutral,1512049404,1676,1,2
32.0,female,neutral,1512049431,3095,1,2
62.9,male,neutral,1512049681,8,1,1
30.6,female,neutral,1512050110,9259,1,1
38.3,male,surprise,1512050232,10,1,1
62.1,female,surprise,1512050459,4048,1,1
28.5,female,neutral,1512050895,6,1,1
42.8,male,neutral,1512051005,3177,1,1
41.3,male,neutral,1512051082,4397,1,1
31.3,male,neutral,1512051318,3782,1,1
47.5,female,neutral,1512051761,6452,1,1
22.2,male,neutral,1512052208,16411,2,1
43.6,female,neutral,1512052339,7,1,1
18.2,female,neutral,1512052393,6534,1,1
18.8,female,neutral,1512052492,5683,2,1
19.5,male,neutral,1512052538,9165,1,1
19.9,male,neutral,1512052733,6746,1,2
18.8,male,neutral,1512052774,6284,1,2
34.3,female,neutral,1512053510,3614,1,1
31.5,female,neutral,1512053712,9719,1,1
52.4,male,neutral,1512054109,2896,1,1
47.1,male,neutral,1512054334,3561,1,1
5.4,female,neutral,1512054721,2119,1,1
35.9,female,neutral,1512055474,10459,1,1
61.5,male,neutral,1512055886,4975,1,1
27.6,male,neutral,1512056146,4680,2,1
15.4,male,happiness,1512056369,5682,1,1
34.3,male,neutral,1512056633,1304,2,1
23.0,female,neutral,1512056720,8680,1,1
34.5,female,neutral,1512056795,7229,2,1
13.1,male,happiness,1512057182,4558,1,1
30.2,female,neutral,1512057476,14010,1,1
23.2,female,happiness,1512057491,5201,1,1
63.0,female,neutral,1512057679,6210,1,1
16.2,female,surprise,1512057743,831,1,1
36.9,male,neutral,1512057934,3057,2,2
29.9,male,neutral,1512058144,10912,1,1
41.0,male,neutral,1512058440,5881,1,1
13.8,female,happiness,1512058617,8,1,1
40.9,male,neutral,1512059356,7263,1,2
39.3,male,neutral,1512059971,6782,1,1
53.1,male,neutral,1512059981,5103,1,1
58.7,male,neutral,1512060097,13520,1,1
18.6,female,neutral,1512060422,7472,1,1
43.8,male,neutral,1512060844,7112,1,1
43.2,female,neutral,1512061322,2171,1,1
47.1,female,neutral,1512061327,1130,2,1
39.2,female,neutral,1512061364,112,1,1
40.2,male,neutral,1512061392,8863,1,1
25.1,male,happiness,1512062217,4410,2,2
29.5,male,happiness,1512062471,5629,1,1
25.1,female,happiness,1512062644,4658,2,1
47.7,female,neutral,1512063064,5541,1,1
48.5,female,neutral,1512063295,6,1,1
19.6,female,neutral,1512063467,7808,1,1
21.5,female,neutral,1512130530,5,2,1
18.4,male,neutral,1512130706,8756,1,1
31.8,female,neutral,1512131029,2094,1,1
21.4,female,neutral,1512131178,10622,1,1
12.6,male,neutral,1512131197,10059,1,1
40.8,male,neutral,1512131234,5109,1,1
9.2,female,happiness,1512131473,9076,1,1
9.7,female,happiness,1512131923,1411,1,1
43.4,male,neutral,1512132212,1227,1,1
15.2,male,neutral,1512133955,2202,1,1
18.0,female,happiness,1512133970,3109,1,1
28.3,male,neutral,1512134146,9331,2,1
29.3,female,neutral,1512134321,1258,2,1
29.4,male,neutral,1512134417,11211,2,1
41.1,female,neutral,1512134445,5198,1,1
31.1,male,neutral,1512134700,9,1,1
23.6,female,happiness,1512134793,7,1,1
23.9,male,neutral,1512134810,5854,1,1
19.9,female,neutral,1512135109,3818,2,1
21.7,female,happiness,1512135894,9379,1,1
19.4,female,happiness,1512135908,11277,2,1
36.3,male,happiness,1512136016,10,1,1
11.9,female,neutral,1512136114,4128,1,1
40.7,female,neutral,1512136150,3356,1,1
23.1,female,neutral,1512136217,9220,1,1
40.0,female,neutral,1512136968,10887,1,1
24.6,male,neutral,1512136976,6780,1,1
25.1,female,neutral,1512137262,3119,1,1
51.3,male,neutral,1512137408,2757,1,1
19.0,male,neutral,1512137949,1244,1,1
25.3,male,happiness,1512138048,9686,2,1
10.7,female,neutral,1512138405,2552,2,1
38.0,male,neutral,1512138510,1875,1,1
20.9,male,neutral,1512138657,872,1,1
33.7,male,neutral,1512139278,1003,1,1
35.6,male,neutral,1512139486,6726,2,1
32.1,male,neutral,1512139618,6191,1,1
21.8,female,neutral,1512139668,4242,1,1
31.8,male,neutral,1512140319,10383,1,2
30.9,male,neutral,1512140745,8257,2,1
27.8,male,neutral,1512140990,8,1,1
14.9,male,neutral,1512141036,1725,1,1
10.6,female,neutral,1512141040,4712,1,1
15.8,male,neutral,1512141137,6,1,1
28.8,female,neutral,1512141735,7213,1,1
23.4,female,neutral,1512141777,2042,2,1
29.5,male,neutral,1512142122,3642,1,1
14.7,female,neutral,1512142627,8794,1,1
11.0,female,neutral,1512143209,14854,1,1
11.4,male,happiness,1512143414,3394,1,1
10.6,female,neutral,1512143579,907,1,1
37.9,male,neutral,1512143757,7589,1,1
16.7,female,neutral,1512143893,944,1,2
13.3,male,neutral,1512144194,5,1,1
5.2,male,neutral,1512144339,14292,1,1
19.4,male,neutral,1512144360,6,1,1
33.2,female,neutral,1512144669,6875,1,1
61.7,male,neutral,1512145149,5,1,1
1.8,male,neutral,1512145239,13578,1,1
37.2,female,neutral,1512145486,3959,1,1
